,in,out,overall,hour,minute
96,8.776176976,1.5213313510000004,10.297508327000001,1,36
97,5.4116392860000015,0.7026210369999999,6.114260323000001,1,37
98,6.589156532999999,0.5582952480000001,7.147451780999999,1,38
99,4.226612177000001,2.6599660279999995,6.886578205,1,39
100,7.034724010000003,1.0529563659999996,8.087680375999998,1,40
101,6.856798945,1.5729008159999998,8.429699760999998,1,41
102,4.079726222,0.5979640110000001,4.677690233000002,1,42
103,5.3209448670000015,0.567193895,5.888138761999999,1,43
104,5.703373424,2.760012844,8.463386268,1,44
105,6.1792324679999995,0.9586904599999997,7.137922928000002,1,45
106,6.360078535,1.6386928920000003,7.998771427000002,1,46
107,5.952012203999998,0.5871542630000001,6.539166467,1,47
108,6.345535068000004,0.575485997,6.921021065000002,1,48
